Title,Tool,Description,EN_category_term,Resource Format,Organisation,Link,Logo,Platform > Desktop > Mac,Platform > Desktop > Windows,Platform > Desktop > GNU Linux,Platform > Mobile > Android,Platform > Mobile > iOS,Platform > Mobile > Others,Platform > Server > LAMP,Platform > Server > Others,Platform > Online,Language,Platform,sticky,status,GUID,category_term
Tunnelblick ,Tunnelblick ,"Tunnelblick is a free, open source graphic user interface for OpenVPN on Mac OS X. It provides easy control of OpenVPN client and/or server connections. ","Secure Connection (HTTPS,...)",Tool,,https://code.google.com/p/tunnelblick/,,Yes,,,,,,,,,English,Mac/OS,1,1,tunnelblick-tunnelblick,"Secure Connection (HTTPS,...)"
Basic Internet Security,TrueCrypt,"The digital world is changing at a tremendous speed. New communication technologies open up new possibilities, but by using them you can also expose yourself, and others, to risks. Many people have trouble assessing these risks especially with regard to the subject of safe digital communication. This is particularly true for people working in regimes with high levels of censorship. However, also in countries considered to be relatively free and uncensored, your data can be used or misused by others - governments, companies, or other persons (sometimes even unintended). How to protect yourself, your sources or your friends? What are safe routes to take? How do you secure after your personal data? This manual aims to address these issues to help you choose your own 'level' of safety.","Secure Data (Encryption,...)",User Documentation,FLOSS Manuals,http://en.flossmanuals.net/basic-internet-security/index/,http://en.flossmanuals.net/basic-internet-security/_booki/basic-internet-security/static/Pictogram_Web.png,,,,,,,,,,English,,0,1,basic-internet-security-truecrypt,"Secure Data (Encryption,...)"
ONO 5 - Playing hide and seek with encryption,General,"ONO likes you tell you about encryption; all that's good and the bits that are not. Clip 5 of Tactical Tech's animation series, ""Survival in the Digital Age"".","Secure Data (Encryption,...)",Video Tutorial,TacticalTech,https://onorobot.org/en/clip_5,http://www.wikinoticia.com/images2//globalvoicesonline.org/wp-content/uploads/2012/05/tactical-tech-ono-robot-100x100.jpg,,,,,,,,,,English,,0,1,ono-5---playing-hide-and-seek-with-encryption-general,"Secure Data (Encryption,...)"
Security in a Box,TrueCrypt,,"Secure Data (Encryption,...)",User Documentation,TacticalTech,https://security.ngoinabox.org/en/truecrypt_main,http://1.bp.blogspot.com/-ddNmY3rMXJE/TWIsAxoNsCI/AAAAAAAA9Bo/og_FsuYyMHk/s320/Security_in-a-box_logo.PNG,,,,,,,,,,English,,0,1,security-in-a-box-truecrypt,"Secure Data (Encryption,...)"
TrueCrypt,TrueCrypt,"Free open-source disk encryption software for Windows 7/Vista/XP, Mac OS X, and Linux","Secure Data (Encryption,...)",Tool,,http://www.truecrypt.org/localizations,http://tekdrops.files.wordpress.com/2011/06/truecrypt.jpg,Yes,Yes,Yes,,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux,1,1,truecrypt-truecrypt,"Secure Data (Encryption,...)"
Wuala,Wuala,Use Wuala as a secure alternative of cloud storage from your mobile. Wuala’s local encryption ensures your important data is safe on the cloud and during transmission.,"Secure Data (Encryption,...)",Tool,LaCie,http://www.wuala.com/en/download/mobile,http://www.howtovanish.com/wp-content/uploads/2012/01/wuala_logo.jpg,Yes,Yes,Yes,Yes,Yes,,,,,English,Mac/OS;Microsoft Windows;GNU Linux;Android;iOS,1,1,wuala-wuala,"Secure Data (Encryption,...)"
Avast,Avast!,"Avast! is an antivirus computer program developed by AVAST Software a.s. (formerly known as ALWIL Software a.s.), a company headquartered in Prague, Czech Republic.","Secure System (Anti-Virus, Malware,...)",Tool,,http://www.avast.com/download-software,http://basicpctroubleshooting.com/wp-content/uploads/2008/05/avast-antiviruspng.jpg,Yes,Yes,Yes,Yes,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux;Android,1,1,avast-avast!,"Secure System (Anti-Virus, Malware,...)"
Avira,Avira,"Avira Operations GmbH & Co. KG is a German antivirus software company. Avira claims to be one of the most widely used antivirus programs in the world, with 100 million users worldwide.","Secure System (Anti-Virus, Malware,...)",Tool,,https://www.avira.com/en/avira-free-antivirus,http://mystery-site.ucoz.ru/Kartunku/avira_logo_red_rgb.jpg,Yes,Yes,Yes,Yes,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux;Android,1,1,avira-avira,"Secure System (Anti-Virus, Malware,...)"
KL Detector,KL Detector,Free keylogger detection for your Windows system!,"Secure System (Anti-Virus, Malware,...)",Tool,,http://dewasoft.com/privacy/kldetector.htm,,,Yes,,,,,,,,English,Microsoft Windows,1,1,kl-detector-kl-detector,"Secure System (Anti-Virus, Malware,...)"
Little Snitch ,Little Snitch,A firewall protects your computer against unwanted guests from the Internet. But who protects your private data from being sent out? Little Snitch does! ,"Secure System (Anti-Virus, Malware,...)",Tool,,http://www.obdev.at/products/littlesnitch/index.html,,Yes,,,,,,,,,English,Mac/OS,1,1,little-snitch-little-snitch,"Secure System (Anti-Virus, Malware,...)"
Security in a Box,Avast!,,"Secure System (Anti-Virus, Malware,...)",User Documentation,TacticalTech,https://security.ngoinabox.org/en/avast_main,http://1.bp.blogspot.com/-ddNmY3rMXJE/TWIsAxoNsCI/AAAAAAAA9Bo/og_FsuYyMHk/s320/Security_in-a-box_logo.PNG,,,,,,,,,,English,,0,1,security-in-a-box-avast!,"Secure System (Anti-Virus, Malware,...)"
Sophos AntiVirus,Sophos AntiVirus,Sophos Anti-Virus for Mac Home Edition addresses the growing concern about Mac malware,"Secure System (Anti-Virus, Malware,...)",Tool,,http://www.sophos.com/en-us/products/free-tools/sophos-antivirus-for-mac-home-edition.aspx,http://www.zeropaid.com/wp-content/uploads/2012/05/sophosuse.jpg,Yes,Yes,,,,,,,,English,Mac/OS;Microsoft Windows,1,1,sophos-antivirus-sophos-antivirus,"Secure System (Anti-Virus, Malware,...)"
1Password,1Password,,Password,Tool,,,http://www.digzip.com/software/wp-content/uploads/2011/08/1Password-v3.8.0.jpg,,,,,,,,,,English,,1,1,1password-1password,Password
Basic Internet Security,KeePass,"The digital world is changing at a tremendous speed. New communication technologies open up new possibilities, but by using them you can also expose yourself, and others, to risks. Many people have trouble assessing these risks especially with regard to the subject of safe digital communication. This is particularly true for people working in regimes with high levels of censorship. However, also in countries considered to be relatively free and uncensored, your data can be used or misused by others - governments, companies, or other persons (sometimes even unintended). How to protect yourself, your sources or your friends? What are safe routes to take? How do you secure after your personal data? This manual aims to address these issues to help you choose your own 'level' of safety.",Password,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/basic-internet-security/index/,http://en.flossmanuals.net/basic-internet-security/_booki/basic-internet-security/static/Pictogram_Web.png,,,,,,,,,,English,,0,1,basic-internet-security-keepass,Password
Dashlane,Dashlane,,Password,Tool,,,http://a0.twimg.com/profile_images/2515424057/lfwkk2u7kkbyayf3dm5s.png,,,,,,,,,,English,,1,1,dashlane-dashlane,Password
LastPass,LastPass,,Password,Tool,,,http://refugeeks.com/RefuGeeks/wp-content/uploads/2012/06/lastpass_large_logo_050611.png,,,,,,,,,,English,,1,1,lastpass-lastpass,Password
"ONO 3 - What's my password, Mommy?",General,"ONO provides some tips on how to create more secure passwords. Clip 3 of Tactical Tech's animation series, ""Survival in the Digital Age"".",Password,Video Tutorial,TacticalTech,https://onorobot.org/en/password-security,http://www.wikinoticia.com/images2//globalvoicesonline.org/wp-content/uploads/2012/05/tactical-tech-ono-robot-100x100.jpg,,,,,,,,,,English,,0,1,"ono-3---what's-my-password,-mommy?-general",Password
ONO 6 - 1 Password = 0 Security,General,"ONO tells us of the perils of using the same password for everything online, and how to avoid it. Clip 6 of Tactical Tech's animation series, ""Survival in the Digital Age"".",Password,Video Tutorial,TacticalTech,https://onorobot.org/en/password/security,http://www.wikinoticia.com/images2//globalvoicesonline.org/wp-content/uploads/2012/05/tactical-tech-ono-robot-100x100.jpg,,,,,,,,,,English,,0,1,ono-6---1-password-=-0-security-general,Password
Drupal,Drupal,"Drupal is a free and open-source content management system (CMS) and content management framework (CMF) written in PHP and distributed under the GNU General Public License It is used as a back-end system for at least 2.1% of all websites worldwide ranging from personal blogs to corporate, political, and government sites including whitehouse.gov and data.gov.uk. It is also used for knowledge management and business collaboration.",Content Management System,Tool,,http://www.drupal.org,http://drupal.org/files/druplicon.small_.png,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,drupal-drupal,Content Management System
Drupal Gardens,Drupal,Free online hosting for blogs in Drupal,Content Management System,Tool,,http://www.drupalgardens.com/,http://semanticweb.com/files/original/dgphoto.jpg,,,,,,,,,Yes,English,Online,1,1,drupal-gardens-drupal,Content Management System
MediaWiki,MediaWiki,"MediaWiki is a free software open source wiki package written in PHP, originally for use on Wikipedia. It is now also used by several other projects of the non-profit Wikimedia Foundation and by many other wikis, including this website, the home of MediaWiki.",Content Management System,Tool,Wikipedia Foundation,http://www.mediawiki.org/wiki/Download,https://encrypted-tbn2.google.com/images?q=tbn:ANd9GcTjagqzX1ZRXu9FTGezlQ4EQGePMPBrObrg0lKaUq-7vd63f_cpndGYqRc5TQ,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,mediawiki-mediawiki,Content Management System
Moodle,Moodle,"Moodle is a Course Management System (CMS), also known as a Learning Management System (LMS) or a Virtual Learning Environment (VLE). It is a Free web application that educators can use to create effective online learning sites.",Content Management System,Tool,,http://moodle.org/,http://moodle.org/logo/logo-4045x1000.jpg,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,moodle-moodle,Content Management System
Plumi,Plumi,Plumi is a Free Software video sharing Content Management System based on Plone and produced by EngageMedia in collaboration with Unweb.me.,Content Management System,Tool,,http://blog.plumi.org/download/,http://plumi.org/raw-attachment/ticket/285/plumi-highres.png,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,plumi-plumi,Content Management System
Plumi,Plumi,,Content Management System,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/Plumi/Installation/,http://plumi.org/raw-attachment/ticket/285/plumi-highres.png,,,,,,,,,,English,,0,1,plumi-plumi,Content Management System
Spip,Spip,"SPIP is a publishing system for the Internet in which great importance is attached to collaborative working, to multilingual environments, and to simplicity of use for web authors. It is free software, distributed under the GNU/GPL licence. This means that it can be used for any Internet site, whether personal or institutional, non-profit or commercial.",Content Management System,Tool,,http://www.spip.net/,http://www.teclib.com/images/spip_logo.jpg,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,spip-spip,Content Management System
Storify,Storify,torify helps its users tell stories by curating social media.,Content Management System,Tool,,http://storify.com,http://www.tradeshowinsight.com/wp-content/uploads/2012/03/storify1.jpg,,,,,,,,,Yes,English,Online,1,1,storify-storify,Content Management System
Wordpress,Wordpress,WordPress is a free and open source blogging tool and a dynamic content management system (CMS) based on PHP and MySQL,Content Management System,Tool,,http://wordpress.org/,http://s.wordpress.org/about/images/logos/wordpress-logo-hoz-rgb.png,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,wordpress-wordpress,Content Management System
Wordpress.com,Wordpress,Free online hosting for wordpress Blog,Content Management System,Tool,,Wordpress.com,http://s.wordpress.org/about/images/logos/wordpress-logo-hoz-rgb.png,,,,,,,,,Yes,English,Online,1,1,wordpress.com-wordpress,Content Management System
Adbrite,Adbrite,"adBrite is the largest independent ad exchange offering an entirely transparent marketplace, direct access to superior campaign data and analytics and ultimately, greater control over what matters most – results.",Monetization,Tool,,https://www.adbrite.com/,http://www.lotame.com/sites/default/files/affiliates/logo_rgb_on_white.jpg,,,,,,,,,Yes,English,Online,1,1,adbrite-adbrite,Monetization
DoubleClick,DoubleClick,,Monetization,Tool,Google,http://www.google.com/doubleclick/,,,,,,,,,,Yes,English,Online,1,1,doubleclick-doubleclick,Monetization
Google Ads,Google Ads,,Monetization,Tool,Google,https://www.google.com/adsense/,http://setwordpress.com/wp-content/uploads/2011/06/custom-google-adsense-logo.png,,,,,,,,,Yes,English,Online,1,1,google-ads-google-ads,Monetization
Google Analytics,Google Analytics,,Monetization,Tool,Google,http://www.google.com/analytics/,http://www.uppiimarketing.com/blogs/simplemarketingbr/wp-content/uploads/2012/01/google-analytics-logo.png,,,,,,,,,Yes,English,Online,1,1,google-analytics-google-analytics,Monetization
Audacity,Audacity,,Multimedia tools,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/audacity/,http://audacity.sourceforge.net/images/Audacity-logo-r_50pct.jpg,,,,,,,,,,English,,0,1,audacity-audacity,Multimedia tools
Audacity,Audacity,"The Audacity program is an example of an 'audio editor'. This means that Audacity can record and edit audio. Typically, you use Audacity for recording sounds, like interviews or musical instruments. You can then use the program to combine these sounds and edit them to make documentaries, music, and podcasts.",Multimedia tools,Tool,,http://audacity.sourceforge.net/,http://audacity.sourceforge.net/images/Audacity-logo-r_50pct.jpg,Yes,Yes,Yes,,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux,1,1,audacity-audacity,Multimedia tools
Audacity Documentation (Floss Manuals),Audacity,"The Audacity program is an example of an 'audio editor'. This means that Audacity can record and edit audio. Typically, you use Audacity for recording sounds, like interviews or musical instruments. You can then use the program to combine these sounds and edit them to make documentaries, music, and podcasts.",Multimedia tools,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/audacity-workbook/,http://audacity.sourceforge.net/images/Audacity-logo-r_50pct.jpg,,,,,,,,,,English,,0,1,audacity-documentation-(floss-manuals)-audacity,Multimedia tools
Avidemux,Avidemux,"Avidemux is a free open-source program designed for multi-purpose video editing and processing, which can be used on almost all known operating systems and computer platforms. This website contains lots of information about downloading, compiling, configuring, and using the program.",Multimedia tools,Tool,,http://www.avidemux.org/admWiki/doku.php,http://1.bp.blogspot.com/-Zcb4d38Y1IY/T-_UB31mNjI/AAAAAAAAAY8/Y4WEF5P_4Dg/s1600/Logo_AviDemux.png,Yes,Yes,Yes,,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux,1,1,avidemux-avidemux,Multimedia tools
Avidemux Documentation (Floss Manuals),Avidemux,"Avidemux is a free open-source program designed for multi-purpose video editing and processing, which can be used on almost all known operating systems and computer platforms. This website contains lots of information about downloading, compiling, configuring, and using the program.",Multimedia tools,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/avidemux/,http://1.bp.blogspot.com/-Zcb4d38Y1IY/T-_UB31mNjI/AAAAAAAAAY8/Y4WEF5P_4Dg/s1600/Logo_AviDemux.png,,,,,,,,,,English,,0,1,avidemux-documentation-(floss-manuals)-avidemux,Multimedia tools
Kino,Kino,"Kino is a free, open source video editing program that lets you capture video through firewire then add titles, transitions and video effects to the footage. It operates on Linux and is not available for Windows or MacOSX.",Multimedia tools,Tool,,http://www.kinodv.org/,,,,Yes,,,,,,,English,GNU Linux,1,1,kino-kino,Multimedia tools
Kino,Kino,"Kino is a free, open source video editing program that lets you capture video through firewire then add titles, transitions and video effects to the footage. It operates on Linux and is not available for Windows or MacOSX.",Multimedia tools,User Documentation,FLOSS Manuals,http://en.flossmanuals.net/kino/,,,,,,,,,,,English,,0,1,kino-kino,Multimedia tools
Message in a Box,Audacity,,Multimedia tools,Video Tutorial,TacticalTech,http://www.messageinabox.tacticaltech.org/sites/miab.tacticaltech.org/files/howtos/video_intro_audacity_release.avi,http://ecx.images-amazon.com/images/I/513UgHuyotL._SL500_AA300_.jpg,,,,,,,,,,English,,0,1,message-in-a-box-audacity,Multimedia tools
Message in a Box,Gimp,,Multimedia tools,Video Tutorial,TacticalTech,http://www.messageinabox.tacticaltech.org/sites/miab.tacticaltech.org/files/howtos/video_intro_audacity_release.avi,http://ecx.images-amazon.com/images/I/513UgHuyotL._SL500_AA300_.jpg,,,,,,,,,,English,,0,1,message-in-a-box-gimp,Multimedia tools
Google Docs,Google Docs,,Office tools,Tool,Google,,http://blog.eogn.com/.a/6a00d8341c767353ef014e86f23d14970d-800wi,,,,,,,,,Yes,English,Online,1,1,google-docs-google-docs,Office tools
LibreOffice,LibreOffice,"LibreOffice is the power-packed free, libre and open source personal productivity suite for Windows, Macintosh and GNU/Linux, that gives you six feature-rich applications for all your document production and data processing needs",Office tools,Tool,,http://www.libreoffice.org/,http://3.bp.blogspot.com/_9MZR46ZEuS8/TKjxJMn4GUI/AAAAAAAAAm4/PiHrBdBxqpg/s1600/LibO_Logo_Highres_Color.png,Yes,Yes,Yes,,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux,1,1,libreoffice-libreoffice,Office tools
OpenOffice,OpenOffice,"Apache OpenOffice is the leading open-source office software suite for word processing, spreadsheets, presentations, graphics, databases and more. It is available in many languages and works on all common computers. It stores all your data in an international open standard format and can also read and write files from other common office software packages. It can be downloaded and used completely free of charge for any purpose.",Office tools,Tool,Apache Incubator,http://www.openoffice.org/projects/native-lang.html,http://i119.photobucket.com/albums/o158/galigio/openoffice-logo.png,Yes,Yes,Yes,,,,,,,English,Mac/OS;Microsoft Windows;GNU Linux,1,1,openoffice-openoffice,Office tools
CloudFlare (DDoS protection),CloudFlare,"CloudFlare protects and accelerates any website online. Once your website is a part of the CloudFlare community, its web traffic is routed through our intelligent global network. We automatically optimize the delivery of your web pages so your visitors get the fastest page load times and best performance. We also block threats and limit abusive bots and crawlers from wasting your bandwidth and server resources. The result: CloudFlare-powered websites see a significant improvement in performance and a decrease in spam and other attacks.",Secure Hosting,Hosting Solution,,https://www.cloudflare.com/index,http://www.elitegurus.com/wp-content/uploads/2012/08/CloudFlare-logo.png,,,,,,,,,Yes,English,Online,0,1,cloudflare-(ddos-protection)-cloudflare,Secure Hosting
Deflect (DDoS protection),Deflect (hosting),Deflect is a robust Web infrastructure that will withstand typical distributed denial of service (DDoS) attacks. These attacks — undertaken by infected 'bots' — are generally intentional with the aim to disable the targeted website and prevent access for normal users. The attacks also serve to intimidate the organisation running the site and to silence online voices. Many small human rights and independent media organisations aren't able protect themselves from such attacks. The Deflect project provides this service for free and without over-extending the client's server resources. ,Secure Hosting,Hosting Solution,equalit.ie,http://equalit.ie/content/deflect,http://equalit.ie/sites/default/files/imagecache/portfolio_right_image/deflectlogo_RED_small2.png,,,,,,,,,Yes,English,Online,0,1,deflect-(ddos-protection)-deflect-(hosting),Secure Hosting
Dragonara.net (DDoS protection),Dragonara,"Dragonara DDos protection is Advanced Traffic analisator and HTTP(s) Distill Engine, providing Instant Attack Filtering feature against all types of DDoS Attacks. The intelligent sense of patent pending mitigation technology is able to protect Web applications, Game servers, Audio and Video streams, Multimedia chats.",Secure Hosting,Hosting Solution,,http://dragonara.net/ddos-protection.html,http://dragonara.net/img/logo.png,,,,,,,,,Yes,English,Online,0,1,dragonara.net-(ddos-protection)-dragonara,Secure Hosting
Team Cymru (DDoS protection),Team Cymru,"Team Cymru Research NFP is a specialized Internet security research firm and 501(c)3 non-profit dedicated to making the Internet more secure. Team Cymru helps organizations identify and eradicate problems in their networks, providing insight that improves lives. ",Secure Hosting,Hosting Solution,,https://www.team-cymru.org/,https://www.team-cymru.org/images/tc-community-logo.png,,,,,,,,,Yes,English,Online,0,1,team-cymru-(ddos-protection)-team-cymru,Secure Hosting
VirtualRoad (DDoS protection),VirtualRoad (hosting),"VirtualRoad.org is a registered ISP offering three standard packages (Lite, Standard and Plus) for websites running content management systems written in PHP. We also provide support for customized solutions to address specific needs.

Matching the correct hosting package to a website depends on the number of visitors to the site, amount and type of traffic, and hardware resources required to enable the site to scale up during an attack or key events, such as elections, natural disasters, breaking news, and so forth.",Secure Hosting,Hosting Solution,,http://virtualroad.org/,http://virtualroad.org/wp-content/uploads/2011/11/vr9c-300x69.png,,,,,,,,,Yes,English,Online,0,1,virtualroad-(ddos-protection)-virtualroad-(hosting),Secure Hosting
Google Moderator,Google Moderator,,Web administration,Tool,Google,https://www.google.com/moderator/,,,,,,,,,,Yes,English,Online,1,1,google-moderator-google-moderator,Web administration
Google Trends,Google Trends,,Web administration,Tool,Google,http://www.google.com/trends/,http://images2.wikia.nocookie.net/__cb57088/logopedia/images/9/9b/Trends_logo_2006.gif,,,,,,,,,Yes,English,Online,1,1,google-trends-google-trends,Web administration
Piwik,Piwik,,Web administration,Tool,,piwik.org/latest.zip,http://piwik.org/wp-content/uploads/Piwik-logo-high-res.png,,,,,,,Yes,,,English,LAMP (Linux Apache MySQL Php),1,1,piwik-piwik,Web administration
EFF - Keeping your Site Alive,General,"This guide aims to assist the owners of such websites by providing advice on choosing an appropriate webhost, as well as a guide to mirroring and backing-up their websites so that the content can be made available elsewhere even if their site is taken down by a DoS or DDoS attack.",Web security,Video Tutorial,EFF,https://www.eff.org/keeping-your-site-alive,https://www.eff.org/sites/all/themes/frontier/logo.png,,,,,,,,,,English,,0,1,eff---keeping-your-site-alive-general,Web security
The CryptoParty Handbook,GPG,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Communications (Enigmail,OTR,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-gpg,"Secure Communications (Enigmail,OTR,...)"
The CryptoParty Handbook,KeePass,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.",Password,User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-keepass,Password
The CryptoParty Handbook,HTTPS Everywhere,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Connection (HTTPS,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-https-everywhere,"Secure Connection (HTTPS,...)"
The CryptoParty Handbook,Adblock Plus,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Connection (HTTPS,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-adblock-plus,"Secure Connection (HTTPS,...)"
The CryptoParty Handbook,Tor,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Connection (HTTPS,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-tor,"Secure Connection (HTTPS,...)"
The CryptoParty Handbook,VPN,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Connection (HTTPS,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-vpn,"Secure Connection (HTTPS,...)"
The CryptoParty Handbook,TrueCrypt,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Data (Encryption,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-truecrypt,"Secure Data (Encryption,...)"
The CryptoParty Handbook,FileShredder,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.",Safety,User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-fileshredder,Safety
The CryptoParty Handbook,CSipSimple,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.",Mobile Security,User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-csipsimple,Mobile Security
The CryptoParty Handbook,Gibberbot,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Communications (Enigmail,OTR,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-gibberbot,"Secure Communications (Enigmail,OTR,...)"
The CryptoParty Handbook,Pidgin with OTR,"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Communications (Enigmail,OTR,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-pidgin-with-otr,"Secure Communications (Enigmail,OTR,...)"
The CryptoParty Handbook,Adium (OSX),"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Communications (Enigmail,OTR,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-adium-(osx),"Secure Communications (Enigmail,OTR,...)"
The CryptoParty Handbook,ChatSecure (iOS),"This 392 page, Creative Commons licensed handbook is designed to help those with no prior experience to protect their basic human right to Privacy in networked, digital domains. By covering a broad array of topics and use contexts it is written to help anyone wishing to understand and then quickly mitigate many kinds of vulnerability using free, open-source tools. Most importantly however this handbook is intended as a reference for use during Crypto Parties.","Secure Communications (Enigmail,OTR,...)",User Documentation,CryptoParty,http://www.hostb.org/97/download,https://cryptoparty.org/images/crypto2.png,,,,,,,,,,English,,0,1,the-cryptoparty-handbook-chatsecure-(ios),"Secure Communications (Enigmail,OTR,...)"
